"schema_version","catalog_version","row_id","rule_id","rule_revision","rule_status","category","subcategory","title_de","rule_text_de","normative_level","compatibility_level","severity","enforcement","rationale_de","document_kinds_json","applies_to","match_language","match_target","condition_json","allowed_patterns_json","forbidden_patterns_json","validator_handler","validator_config_json","diagnostic_code","diagnostic_message_de","fix_guidance_de","autofix_mode","autofix_action","autofix_config_json","project_mapping_json","valid_example","invalid_example","exception_condition_de","exception_handling_de","client_profile_id","client_family","client_platform","rendering_engine","client_version_selector","support_status","support_note_de","test_method","last_tested_at","source_type","source_title","source_url","source_locator","source_published_at","source_accessed_at","evidence_summary_de","confidence","confidence_reason_de","last_verified_in_project","review_due_at","secondary_sources_json","tags_json","notes_de"
"1.0.0","1.0.1","EMAIL-MIME-001@all","EMAIL-MIME-001","1","ACTIVE","mime","alternative","Nichtleeren Plain-Text-Part liefern","Systemmail, EML und Outlook-Paket müssen einen inhaltlich gleichwertigen text/plain-Part in multipart/alternative enthalten.","MUST","SAFE","CRITICAL","BLOCK","Diese Regel schützt die inhaltlich und funktional belastbare SAFE-Basis über unterschiedliche Rendering-Engines hinweg.","[""system_mail"",""eml"",""outlook_package""]","mime","mime","full_document","{}","[]","[]","plain_text_required","{""require_non_empty"":true,""preserve_links"":true}","EMAIL_MIME_001","Nichtleeren Plain-Text-Part liefern","Systemmail, EML und Outlook-Paket müssen einen inhaltlich gleichwertigen text/plain-Part in multipart/alternative enthalten.","REVIEW_REQUIRED","add_plain_text_part","{}","{""areas"":[""compatibility_auditor""],""stage"":""mime""}","multipart/alternative mit text/plain vor text/html","Nur text/html","","","all","Alle Ausgabewege","Nicht renderingspezifisch","N/A","*","NOT_APPLICABLE","Nicht renderingspezifische Regel; sie gilt für den Ausgabe-/Prüfvertrag insgesamt.","standard_review","2026-08-24","standard","RFC 2046: MIME Part Two","https://www.rfc-editor.org/rfc/rfc2046.html","RFC 2046: MIME Part Two; Regel EMAIL-MIME-001","1996-11-01","2026-08-24","Diese Regel schützt die inhaltlich und funktional belastbare SAFE-Basis über unterschiedliche Rendering-Engines hinweg. Nicht renderingspezifische Regel; sie gilt für den Ausgabe-/Prüfvertrag insgesamt.","HIGH","Normative oder originär getestete Quelle mit explizitem SAFE-Fallback.","2026-08-24","2026-11-24","[]","[""mime"",""plain-text""]",""
"1.0.0","1.0.1","EMAIL-MIME-002@all","EMAIL-MIME-002","1","ACTIVE","mime","charset","UTF-8 in allen Textteilen deklarieren","Jeder text/plain- und text/html-Part muss charset=UTF-8 deklarieren und gültige UTF-8-Bytes enthalten.","MUST","SAFE","CRITICAL","BLOCK","Diese Regel schützt die inhaltlich und funktional belastbare SAFE-Basis über unterschiedliche Rendering-Engines hinweg.","[""system_mail"",""eml"",""outlook_package""]","mime","mime","full_document","{}","[]","[]","","{}","EMAIL_MIME_002","UTF-8 in allen Textteilen deklarieren","Jeder text/plain- und text/html-Part muss charset=UTF-8 deklarieren und gültige UTF-8-Bytes enthalten.","NONE","NONE","{}","{""areas"":[""compatibility_auditor""],""stage"":""mime""}","Content-Type: text/html; charset=UTF-8","Undeklarierte oder widersprüchliche Zeichenkodierung","","","all","Alle Ausgabewege","Nicht renderingspezifisch","N/A","*","NOT_APPLICABLE","Nicht renderingspezifische Regel; sie gilt für den Ausgabe-/Prüfvertrag insgesamt.","standard_review","2026-08-24","standard","RFC 2045: MIME Part One","https://www.rfc-editor.org/rfc/rfc2045.html","RFC 2045: MIME Part One; Regel EMAIL-MIME-002","1996-11-01","2026-08-24","Diese Regel schützt die inhaltlich und funktional belastbare SAFE-Basis über unterschiedliche Rendering-Engines hinweg. Nicht renderingspezifische Regel; sie gilt für den Ausgabe-/Prüfvertrag insgesamt.","HIGH","Normative oder originär getestete Quelle mit explizitem SAFE-Fallback.","2026-08-24","2026-11-24","[]","[""mime"",""utf-8"",""i18n""]",""
"1.0.0","1.0.1","EMAIL-MIME-003@all","EMAIL-MIME-003","1","ACTIVE","mime","related","CID-Bilder konsistent referenzieren","Bei eingebetteten Bildern muss jede cid:-Referenz genau einem MIME-Part mit passender Content-ID innerhalb multipart/related entsprechen.","MUST","SAFE","MAJOR","BLOCK","Diese Regel schützt die inhaltlich und funktional belastbare SAFE-Basis über unterschiedliche Rendering-Engines hinweg.","[""eml"",""outlook_package""]","mime","mime","full_document","{}","[]","[]","","{}","EMAIL_MIME_003","CID-Bilder konsistent referenzieren","Bei eingebetteten Bildern muss jede cid:-Referenz genau einem MIME-Part mit passender Content-ID innerhalb multipart/related entsprechen.","NONE","NONE","{}","{""areas"":[""compatibility_auditor""],""stage"":""mime""}","<img src=""cid:logo@railtime""> plus Content-ID: <logo@railtime>","cid:-Referenz ohne MIME-Part","","","all","Alle Ausgabewege","Nicht renderingspezifisch","N/A","*","NOT_APPLICABLE","Nicht renderingspezifische Regel; sie gilt für den Ausgabe-/Prüfvertrag insgesamt.","standard_review","2026-08-24","standard","RFC 2392: Content-ID and Message-ID URLs","https://www.rfc-editor.org/rfc/rfc2392.html","RFC 2392: Content-ID and Message-ID URLs; Regel EMAIL-MIME-003","1998-08-01","2026-08-24","Diese Regel schützt die inhaltlich und funktional belastbare SAFE-Basis über unterschiedliche Rendering-Engines hinweg. Nicht renderingspezifische Regel; sie gilt für den Ausgabe-/Prüfvertrag insgesamt.","HIGH","Normative oder originär getestete Quelle mit explizitem SAFE-Fallback.","2026-08-24","2026-11-24","[]","[""mime"",""cid"",""images""]",""
"1.0.0","1.0.1","EMAIL-MIME-004@all","EMAIL-MIME-004","1","ACTIVE","mime","transfer-encoding","Sichere Content-Transfer-Encoding verwenden","Text- und Binärteile müssen eine zu ihrem Inhalt passende MIME-Transferkodierung besitzen; Zeilen- und Boundary-Vertrag dürfen nicht verletzt werden.","MUST","SAFE","MAJOR","BLOCK","Diese Regel schützt die inhaltlich und funktional belastbare SAFE-Basis über unterschiedliche Rendering-Engines hinweg.","[""system_mail"",""eml"",""outlook_package""]","mime","mime","full_document","{}","[]","[]","","{}","EMAIL_MIME_004","Sichere Content-Transfer-Encoding verwenden","Text- und Binärteile müssen eine zu ihrem Inhalt passende MIME-Transferkodierung besitzen; Zeilen- und Boundary-Vertrag dürfen nicht verletzt werden.","NONE","NONE","{}","{""areas"":[""compatibility_auditor""],""stage"":""mime""}","quoted-printable für Text; base64 für Binäranhang","Rohe Binärbytes in einem 7bit-Part","","","all","Alle Ausgabewege","Nicht renderingspezifisch","N/A","*","NOT_APPLICABLE","Nicht renderingspezifische Regel; sie gilt für den Ausgabe-/Prüfvertrag insgesamt.","standard_review","2026-08-24","standard","RFC 2045: MIME Part One","https://www.rfc-editor.org/rfc/rfc2045.html","RFC 2045: MIME Part One; Regel EMAIL-MIME-004","1996-11-01","2026-08-24","Diese Regel schützt die inhaltlich und funktional belastbare SAFE-Basis über unterschiedliche Rendering-Engines hinweg. Nicht renderingspezifische Regel; sie gilt für den Ausgabe-/Prüfvertrag insgesamt.","HIGH","Normative oder originär getestete Quelle mit explizitem SAFE-Fallback.","2026-08-24","2026-11-24","[]","[""mime"",""encoding""]",""
"1.0.0","1.0.1","EMAIL-DOC-001@outlook-classic-windows","EMAIL-DOC-001","1","ACTIVE","document","doctype","HTML5-Doctype verwenden","Das vollständige HTML-Dokument muss mit <!doctype html> beginnen.","MUST","SAFE","MAJOR","BLOCK","Diese Regel schützt die inhaltlich und funktional belastbare SAFE-Basis über unterschiedliche Rendering-Engines hinweg.","[""template"",""signature"",""system_mail"",""html_download"",""eml"",""outlook_package"",""marketing""]","document","html","full_document","{}","[]","[]","doctype_lang","{""require_doctype"":true}","EMAIL_DOC_001","HTML5-Doctype verwenden","Das vollständige HTML-Dokument muss mit <!doctype html> beginnen.","SAFE","add_safe_fallback","{}","{""areas"":[""compatibility_auditor""],""stage"":""document""}","<!doctype html><html lang=""de"">","<html>","","SAFE-Grundstruktur ohne diese Technik verwenden; Inhalt, Reihenfolge und Aktion müssen ohne sie vollständig erhalten bleiben.","outlook-classic-windows","Outlook Classic","Windows","Microsoft Word","2019","UNSUPPORTED","Can I Email html-doctype, Messwert n #2.","actual_client_test","2019-07-25","original_client_test","Can I Email: HTML5 doctype","https://www.caniemail.com/features/html-doctype/","commit 1f500feec9df3241bfe679b16101d1ee449e67e9; _features/html-doctype.md; outlook/windows; 2019","2019-07-25","2026-08-24","Diese Regel schützt die inhaltlich und funktional belastbare SAFE-Basis über unterschiedliche Rendering-Engines hinweg. Can I Email html-doctype, Messwert n #2.","HIGH","Normative oder originär getestete Quelle mit explizitem SAFE-Fallback.","2026-08-24","2026-11-24","[""https://html.spec.whatwg.org/"",""https://github.com/hteumeuleu/caniemail/blob/1f500feec9df3241bfe679b16101d1ee449e67e9/_features/html-doctype.md""]","[""document"",""doctype""]","Originärdatenstand: Can I Email 2019-07-25, Commit 1f500feec9df3241bfe679b16101d1ee449e67e9."
"1.0.0","1.0.1","EMAIL-DOC-001@outlook-new-windows","EMAIL-DOC-001","1","ACTIVE","document","doctype","HTML5-Doctype verwenden","Das vollständige HTML-Dokument muss mit <!doctype html> beginnen.","MUST","SAFE","MAJOR","BLOCK","Diese Regel schützt die inhaltlich und funktional belastbare SAFE-Basis über unterschiedliche Rendering-Engines hinweg.","[""template"",""signature"",""system_mail"",""html_download"",""eml"",""outlook_package"",""marketing""]","document","html","full_document","{}","[]","[]","doctype_lang","{""require_doctype"":true}","EMAIL_DOC_001","HTML5-Doctype verwenden","Das vollständige HTML-Dokument muss mit <!doctype html> beginnen.","SAFE","add_safe_fallback","{}","{""areas"":[""compatibility_auditor""],""stage"":""document""}","<!doctype html><html lang=""de"">","<html>","","","outlook-new-windows","New Outlook","Windows","WebView2/Chromium","2024-01","SUPPORTED","Can I Email html-doctype, Messwert y; New Outlook über Outlook-Web-Renderer als dokumentierter Proxy.","actual_client_test","2019-07-25","original_client_test","Can I Email: HTML5 doctype","https://www.caniemail.com/features/html-doctype/","commit 1f500feec9df3241bfe679b16101d1ee449e67e9; _features/html-doctype.md; outlook/outlook-com; 2024-01","2019-07-25","2026-08-24","Diese Regel schützt die inhaltlich und funktional belastbare SAFE-Basis über unterschiedliche Rendering-Engines hinweg. Can I Email html-doctype, Messwert y; New Outlook über Outlook-Web-Renderer als dokumentierter Proxy.","MEDIUM","Kein direkter profilspezifischer Test; der konservative statische Fallback begrenzt das Risiko und muss manuell geprüft werden.","2026-08-24","2026-11-24","[""https://html.spec.whatwg.org/"",""https://github.com/hteumeuleu/caniemail/blob/1f500feec9df3241bfe679b16101d1ee449e67e9/_features/html-doctype.md"",""https://learn.microsoft.com/en-us/microsoft-365-apps/outlook/overview-new-outlook-windows""]","[""document"",""doctype""]","Originärdatenstand: Can I Email 2019-07-25, Commit 1f500feec9df3241bfe679b16101d1ee449e67e9."
"1.0.0","1.0.1","EMAIL-DOC-001@outlook-web","EMAIL-DOC-001","1","ACTIVE","document","doctype","HTML5-Doctype verwenden","Das vollständige HTML-Dokument muss mit <!doctype html> beginnen.","MUST","SAFE","MAJOR","BLOCK","Diese Regel schützt die inhaltlich und funktional belastbare SAFE-Basis über unterschiedliche Rendering-Engines hinweg.","[""template"",""signature"",""system_mail"",""html_download"",""eml"",""outlook_package"",""marketing""]","document","html","full_document","{}","[]","[]","doctype_lang","{""require_doctype"":true}","EMAIL_DOC_001","HTML5-Doctype verwenden","Das vollständige HTML-Dokument muss mit <!doctype html> beginnen.","SAFE","add_safe_fallback","{}","{""areas"":[""compatibility_auditor""],""stage"":""document""}","<!doctype html><html lang=""de"">","<html>","","","outlook-web","Outlook","Web","Browser/Webmail","2024-01","SUPPORTED","Can I Email html-doctype, Messwert y.","actual_client_test","2019-07-25","original_client_test","Can I Email: HTML5 doctype","https://www.caniemail.com/features/html-doctype/","commit 1f500feec9df3241bfe679b16101d1ee449e67e9; _features/html-doctype.md; outlook/outlook-com; 2024-01","2019-07-25","2026-08-24","Diese Regel schützt die inhaltlich und funktional belastbare SAFE-Basis über unterschiedliche Rendering-Engines hinweg. Can I Email html-doctype, Messwert y.","HIGH","Normative oder originär getestete Quelle mit explizitem SAFE-Fallback.","2026-08-24","2026-11-24","[""https://html.spec.whatwg.org/"",""https://github.com/hteumeuleu/caniemail/blob/1f500feec9df3241bfe679b16101d1ee449e67e9/_features/html-doctype.md""]","[""document"",""doctype""]","Originärdatenstand: Can I Email 2019-07-25, Commit 1f500feec9df3241bfe679b16101d1ee449e67e9."
"1.0.0","1.0.1","EMAIL-DOC-001@outlook-macos","EMAIL-DOC-001","1","ACTIVE","document","doctype","HTML5-Doctype verwenden","Das vollständige HTML-Dokument muss mit <!doctype html> beginnen.","MUST","SAFE","MAJOR","BLOCK","Diese Regel schützt die inhaltlich und funktional belastbare SAFE-Basis über unterschiedliche Rendering-Engines hinweg.","[""template"",""signature"",""system_mail"",""html_download"",""eml"",""outlook_package"",""marketing""]","document","html","full_document","{}","[]","[]","doctype_lang","{""require_doctype"":true}","EMAIL_DOC_001","HTML5-Doctype verwenden","Das vollständige HTML-Dokument muss mit <!doctype html> beginnen.","SAFE","add_safe_fallback","{}","{""areas"":[""compatibility_auditor""],""stage"":""document""}","<!doctype html><html lang=""de"">","<html>","","","outlook-macos","Outlook","macOS","WebKit","16.80","SUPPORTED","Can I Email html-doctype, Messwert y.","actual_client_test","2019-07-25","original_client_test","Can I Email: HTML5 doctype","https://www.caniemail.com/features/html-doctype/","commit 1f500feec9df3241bfe679b16101d1ee449e67e9; _features/html-doctype.md; outlook/macos; 16.80","2019-07-25","2026-08-24","Diese Regel schützt die inhaltlich und funktional belastbare SAFE-Basis über unterschiedliche Rendering-Engines hinweg. Can I Email html-doctype, Messwert y.","HIGH","Normative oder originär getestete Quelle mit explizitem SAFE-Fallback.","2026-08-24","2026-11-24","[""https://html.spec.whatwg.org/"",""https://github.com/hteumeuleu/caniemail/blob/1f500feec9df3241bfe679b16101d1ee449e67e9/_features/html-doctype.md""]","[""document"",""doctype""]","Originärdatenstand: Can I Email 2019-07-25, Commit 1f500feec9df3241bfe679b16101d1ee449e67e9."
"1.0.0","1.0.1","EMAIL-DOC-001@outlook-ios","EMAIL-DOC-001","1","ACTIVE","document","doctype","HTML5-Doctype verwenden","Das vollständige HTML-Dokument muss mit <!doctype html> beginnen.","MUST","SAFE","MAJOR","BLOCK","Diese Regel schützt die inhaltlich und funktional belastbare SAFE-Basis über unterschiedliche Rendering-Engines hinweg.","[""template"",""signature"",""system_mail"",""html_download"",""eml"",""outlook_package"",""marketing""]","document","html","full_document","{}","[]","[]","doctype_lang","{""require_doctype"":true}","EMAIL_DOC_001","HTML5-Doctype verwenden","Das vollständige HTML-Dokument muss mit <!doctype html> beginnen.","SAFE","add_safe_fallback","{}","{""areas"":[""compatibility_auditor""],""stage"":""document""}","<!doctype html><html lang=""de"">","<html>","","","outlook-ios","Outlook","iOS","WebKit/WebView","2021-11","SUPPORTED","Can I Email html-doctype, Messwert y.","actual_client_test","2019-07-25","original_client_test","Can I Email: HTML5 doctype","https://www.caniemail.com/features/html-doctype/","commit 1f500feec9df3241bfe679b16101d1ee449e67e9; _features/html-doctype.md; outlook/ios; 2021-11","2019-07-25","2026-08-24","Diese Regel schützt die inhaltlich und funktional belastbare SAFE-Basis über unterschiedliche Rendering-Engines hinweg. Can I Email html-doctype, Messwert y.","HIGH","Normative oder originär getestete Quelle mit explizitem SAFE-Fallback.","2026-08-24","2026-11-24","[""https://html.spec.whatwg.org/"",""https://github.com/hteumeuleu/caniemail/blob/1f500feec9df3241bfe679b16101d1ee449e67e9/_features/html-doctype.md""]","[""document"",""doctype""]","Originärdatenstand: Can I Email 2019-07-25, Commit 1f500feec9df3241bfe679b16101d1ee449e67e9."
"1.0.0","1.0.1","EMAIL-DOC-001@outlook-android","EMAIL-DOC-001","1","ACTIVE","document","doctype","HTML5-Doctype verwenden","Das vollständige HTML-Dokument muss mit <!doctype html> beginnen.","MUST","SAFE","MAJOR","BLOCK","Diese Regel schützt die inhaltlich und funktional belastbare SAFE-Basis über unterschiedliche Rendering-Engines hinweg.","[""template"",""signature"",""system_mail"",""html_download"",""eml"",""outlook_package"",""marketing""]","document","html","full_document","{}","[]","[]","doctype_lang","{""require_doctype"":true}","EMAIL_DOC_001","HTML5-Doctype verwenden","Das vollständige HTML-Dokument muss mit <!doctype html> beginnen.","SAFE","add_safe_fallback","{}","{""areas"":[""compatibility_auditor""],""stage"":""document""}","<!doctype html><html lang=""de"">","<html>","","","outlook-android","Outlook","Android","Android WebView","2021-11","SUPPORTED","Can I Email html-doctype, Messwert y.","actual_client_test","2019-07-25","original_client_test","Can I Email: HTML5 doctype","https://www.caniemail.com/features/html-doctype/","commit 1f500feec9df3241bfe679b16101d1ee449e67e9; _features/html-doctype.md; outlook/android; 2021-11","2019-07-25","2026-08-24","Diese Regel schützt die inhaltlich und funktional belastbare SAFE-Basis über unterschiedliche Rendering-Engines hinweg. Can I Email html-doctype, Messwert y.","HIGH","Normative oder originär getestete Quelle mit explizitem SAFE-Fallback.","2026-08-24","2026-11-24","[""https://html.spec.whatwg.org/"",""https://github.com/hteumeuleu/caniemail/blob/1f500feec9df3241bfe679b16101d1ee449e67e9/_features/html-doctype.md""]","[""document"",""doctype""]","Originärdatenstand: Can I Email 2019-07-25, Commit 1f500feec9df3241bfe679b16101d1ee449e67e9."
